region,date,rainfall_mm,rainfall_7day,rainfall_30day,rainfall_spike,risk
Gilgit-Baltistan,2026-03-27,0.0,5.710000000000007,207.13000000000002,-0.8157142857142867,medium
KPK,2026-03-27,0.0,0.2599999999999858,49.41999999999999,-0.03714285714285511,low
Balochistan,2026-03-27,0.0,4.520000000000001,9.570000000000004,-0.6457142857142859,low
Azad Kashmir,2026-03-27,0.0,1.1200000000000214,77.77000000000001,-0.16000000000000306,low
Punjab,2026-03-27,0.0,0.17000000000000345,1.75,-0.024285714285714778,low
Sindh,2026-03-27,0.0,0.1700000000000071,16.830000000000002,-0.0242857142857153,low
